last_name,first_name
AA,Milne
Ackroyd,Peter
Aczel,Amir
Adams,Douglas
Adams,Richard
Alexandre,Dumas
Archer,Jeffrey
Archer,Jeffery
Auel,Jean
Austen,Jane
Bach,Richard
Baz-Zohar,Michael
Bell,ET
Blackman,Malorie
Blyton,Enid
Bodanis,David
Bradsky,Gary
Bronte,Charlotte
Bronte,Emily
Brown,Dan
Cabot,Meg
Camus,Albert
Capra,Fritjof
Carroll,Lewis
Charles,Dickens
Charlotte,Bronte
Coelho,Paulo
Colfer,Eoin
Collins,Wilkie
Conway,Drew
Corbett,Jim
Cormen,Thomas
Crichton,Michael
CS,Lewis
Dahl,Roald
Dalrymple,William
Daphne du,Maurier
Dawkins,Richard
de Bernieres,Louis
Deb,Siddhartha
Deshpande,P L
Deshpande,Sunita
Deshpande,PL
Devlin,Keith
Dickens,Charles
Dickinson,Peter
Dostoevsky,Fyodor
Dostoyevsky,Fyodor
Douglas,Adams
Downey,Allen
Doyle,Arthur Conan
Drucker,Peter
du Maurier,Daphne
Dubner,Stephen
Duda,Hart
Dumas,Alexandre
Durant,Will
Durrell,Gerald
Dylan,Bob
Eddins,Steve
Eliot,George
Emily,Bronte
Eraly,Abraham
Evelyn,Waugh
F Scott,Fitzgerald
Faulks,Sebastian
Feist,Raymond
Feynman,Richard
Fielding,Helen
Fisk,Robert
Fitzgerald,F Scott
Follett,Ken
Foreman,John
Forsyth,Frederick
Forsyth,David
Fowles,John
Franco,Sergio
Frank,Herbert
Friedman,Thomas
Gabriel,Marquez
Garcia Marquez,Gabriel
Gardner,Stanley
Garg,Sanjay
George,Orwell
George,Eliot
Ghosh,Amitav
Gibbons,Stella
Gleick,James
Golden,Arthur
Golding,William
Gordon,Richard
Goswami,Jaideva
Grahame,Kenneth
Greene,W. H.
Greene,W.H
Grisham,John
Gupta,Madan
Hansberry,Lorraine
Hardy,Thomas
Harper,Lee
Harris,Sam
Hawking,Stephen
Haykin,Simon
Heisenberg,Werner
Heller,Joseph
Hemingway,Ernest
Herbert,Frank
Hitler,Adolf
Hodgson Burnett,Frances
Hugo,Victor
Huntington,Samuel
Huxley,Aldous
Iacoca,Lee
Irving,John
Jacqueline,Wilson
Jane,Austen
Janert,Phillip
JD,Salinger
JK,Rowling
John,Irving
John,Steinbeck
Joseph,Heller
Joyce,James
JRR,Tolkien
Kafka,Frank
Kale,VP
Kanetkar,Yashwant
Kautiyla,
Ken,Follett
Kenneth,Grahame
Kerouac,Jack
King,Stephen
Konnikova,Maria
Lapierre,Dominique
Larsson,Steig
Lee,Harper
Leo,Tolstoy
Lewis,CS
Lewis,Carroll
LM,Montgomery
Louis de,Bernieres
Louis Stevenson,Robert
Louisa May,Alcott
Machiavelli,
Magorian,Michelle
Margaret,Mitchell
Maugham,William
May Alcott,Louisa
McCollough,Colleen
McKinney,Wes
Menon,VP
Michelle,Magorian
Milne,AA
Mitchell,Margaret
Mlodinow,Leonard
Mohan,Ned
Montgomery,LM
Naipaul,VS
Nariman,
Nayar,Kuldip
Nehru,Jawaharlal
Nevil,Shute
Nisbet,Robert
Oram,Andy
Orwell,George
Palkhivala,
Pausch,Randy
Peake,Mervyn
Philip,Pullman
Pilcher,Rosamunde
Pirsig,Robert
Poe,Edgar Allen
Pratchett,Terry
Pratt,John
Pullman,Philip
Puzo,Mario
Rand,Ayn
Ranjan,Sudhanshu
Ransome,Arthur
Rashid,Muhammad
Raymond,Eric
Richard,Adams
Roald,Dahl
Robert,Stevenson
Rosamunde,Pilcher
Rowling,JK
Roy,Arundhati
Rushdie,Salman
Russell,Bertrand
Rutherford,Alex
Sachar,Louis
Sagan,Carl
Said,Edward
Salinger,JD
Sassoon,Jean
Sebastian,Gutierrez
Sebastian,Faulks
Sen,Amartya
Seth,Vikram
Seton,Anya
Sewell,Anna
Shih,Frank
Shute,Nevil
Silver,Nate
Singh,Simon
Smith,Adam
Smith,Dodie
Sorabjee,
Steinbeck,John
Stonier,Alfred
Stroud,Jonathan
Suskind,Patrick
Sussman,Gerald
Tanenbaum,Andrew
Tao,Terence
Tartt,Donna
Taub,Schilling
Tharoor,Shashi
Thomas,Joy
Thomas,Hardy
Tolkien,JRR
Tolstoy,Leo
Tressell,Robert
Vapnik,Vladimir
Verne,Jules
Villani,Cedric
Vonnegut,Kurt
Waugh,Evelyn
Wells,H.G.
West,Morris
Wilson,Jacqueline
Woodward,Bob
Zaidi,Hussain
